name,review_count,categories,rating,price,zip_code,street
Au Paradis Tropical,10,caribbean,4.5,,75018, rue Custine
Neighbours,21,breakfast_brunch,5.0,2.0,75003, boulevard Beaumarchais
Le Comptoir du Marché,1,french,5.0,,75008,Champs-Elysées
La Petite Périgourdine,114,french,4.0,3.0,75005, rue des Ecoles
Kanna Tanna,7,srilankan,5.0,,75009, rue Jean Baptiste Pigalle
Chouette,4,french,5.0,2.0,75020, rue des Pyrénées
Gemini,32,italian,4.5,2.0,75001, rue des Halles
L'Entente,13,british,4.5,2.0,75002, rue Monsigny
Les Marches,15,french,3.5,2.0,75116, rue de la Manutention
ASPIC,21,french,5.0,4.0,75009, rue de la Tour d'Auvergne
Bulliz,20,gourmet,4.5,1.0,75010, rue d'Hauteville
Le Cinq,136,french,4.5,4.0,75008,
Le Basilic,162,french,4.0,2.0,75018, rue Lepic
Café des Anges,150,french,4.0,2.0,75011, rue de la Roquette
La Vache et le Cuisinier,67,french,5.0,3.0,75018, rue des Trois Frères
Les Cocottes,520,bistros,4.0,3.0,75007, rue Saint Dominique
La Ville de Provins,4,brasseries,4.5,2.0,75010, boulevard de Strasbourg
Kokoro,5,french,5.0,2.0,75005, rue des Boulangers
Frenchie Restaurant,212,french,4.5,4.0,75002,- rue du Nil
Le Poulailler,6,french,4.5,,75011, rue Saint-Sabin
Café Bonne Biere,15,brasseries,4.0,2.0,75011, rue du Faubourg du Temple
Ducasse sur Seine,2,french,4.5,,,Port Debilly
Les Arlots,16,french,4.5,3.0,75010, rue Faubourg Poissonnière
Les Deux Magots,335,cafes,3.5,3.0,75006, place Saint-Germain des Prés
Camélia,22,french,4.5,4.0,75001, rue Saint-Honoré
Poulette,53,french,4.0,3.0,75001, Rue Etienne Marcel
La Cantine du Troquet,12,french,4.5,3.0,75014, rue Daguerre
East Mamma,239,pizza,4.5,2.0,75011, rue du Faubourg Saint-Antoine
Gabylou,12,french,4.5,3.0,75017, rue d'Armaillé
La Cantine de Gaston,1,bistros,5.0,,75013, rue de Tolbiac
Odette,4,french,4.5,,75001, rue du Pont Neuf
Le Barbouquin,12,bookstores,4.5,2.0,75020, rue Dénoyez
Le Coin d'Alexandre,7,french,5.0,3.0,75015, rue Olivier de Serres
Holybelly 5,233,breakfast_brunch,4.5,2.0,75010, rue Lucien Sampaix
Baltard au Louvre,6,brasseries,4.5,,75001, Rue Coquillière
La Recyclerie,92,culturalcenter,4.0,2.0,75018, boulevard Ornano
L'Os à Moelle,1,french,5.0,2.0,75020, avenue Gambetta
Le Porte Pot,133,wine_bars,4.5,2.0,75005, rue Boutebrie
Shabestan - Mirabeau,23,french,4.5,3.0,75016, avenue de Versailles
La Fusée,37,french,4.0,2.0,75003, Rue St Martin
Rivié,4,french,5.0,,75002, rue du Sentier
Chez la Vieille,14,french,4.0,3.0,75001, rue Bailleul
Terra,2,french,4.5,,75003, rue des Gravilliers
Aux Tonneaux des Halles,39,french,4.0,2.0,75001, rue Montorgueil
Au Pied du Sacré Coeur,162,french,4.5,2.0,75018, rue Lamarck
La Dame de Pic,29,french,4.5,4.0,75001, rue du Louvre
Le Plomb du Cantal,74,french,4.0,2.0,75010, bd St Denis
Mystery Cuisine,10,french,5.0,4.0,75001, Bis Rue De Montpensier
Marrow,4,bistros,5.0,,75010, rue du Faubourg Saint-Martin
Le Petit Opportun,4,french,5.0,2.0,75001, place Saint Opportune
Septime,135,modern_european,4.5,4.0,75011, rue de Charonne
Kozy,263,coffee,4.0,1.0,75007, avenue Bosquet
